Airport	UKAB no	Date	Time	Latitude	Longitude	Altitude	Risk Class	ACclass1	ACtype1	Airspace	ATC type1	ACclass2	ACtype2	Airspace2	ATC type2	Vsep(measured)	Hsep(measured)	Vsep1	Hsep1	Vsep2	Hsep2	Precis	Description

Biggin Hill	1996076	1996-07-25	1047	5119N	00003W	02450	A	MILG	VIKING GLIDER (103 ACRO)	G - FIR 3001 FT - FL79	NOT UNDER CONTROL	CIVP	COMANCHE	G - FIR 0 - 3000 FT	LISTENING OUT WITH ..... (CIVIL)			0000	0030	0000	XXXX	UK Airprox(P) : PA24 and Viking glider. Subject of JAS investigation.	Nil
Biggin Hill	1996113	1996-09-15	1527	5112N	00000W	02800	C	CATP	DC9	D - CONTROL ZONES AND AREAS (NON RULE 21)	APPROACH RADAR (CIVIL)	CIVP	CHEROKEE / WARRIOR / ARROW	D - CONTROL ZONES AND AREAS (NON RULE 21)	AIR TO GROUND SERVICE (CIVIL)			XXXX	1853	XXXX	1853	UK Airprox(P) : PA28 and DC9. Subject of JAS investigation.	Nil
Biggin Hill	1997050	1997-05-18	1150	5118N	00005W	00900	B	MILG	VIKING GLIDER (103 ACRO)	G - FIR 0 - 3000 FT	NOT UNDER CONTROL	CIVP	CHEROKEE / WARRIOR / ARROW	G - FIR 0 - 3000 FT	FIR / FIS (CIVIL)			0000	0250	0160	0500	UK Airprox(P) : Piper PA28 and glider. Subject of JAS investigation.	Nil
Biggin Hill	1997193	1997-07-23	1745	5111N	00006W	00800	B	CIVH	HUGHES/SCHWEIZER 269/300/369	AERODROME TRAFFIC ZONES - (ATZ)	AFIS (CIVIL)	CIVP	CESSNA 152	AERODROME TRAFFIC ZONES - (ATZ)	AFIS (CIVIL)			XXXX	XXXX	0100	0000	"ATC Occurrence - Airprox (C) : Hughes 269C & Cessna 152 at 1000ft, near Redhill aerodrome."	"CAA Closure: Aircrew error. Poor pre-flight planning, a ""press on"" attitude & poor radio reception led to this AIRPROX. Appropriate CAA action has been taken as a result of this AIRPROX. This AIRPROX is now subject to a separate review by the Joint AIRPROX(C) Assessment Panel (JAAP) & details of their findings should be published in AIRPROX (Controllers) Report Book Volume 14. AIRPROX 21/97."
Biggin Hill	1998066	1998-06-22	1235	5112N	00007E	01300	A	CIVP	ECUREUIL SA 350	G - FIR 0 - 3000 FT	FIR / FIS (CIVIL)	CIVP	MICROLIGHT (UNSPECIFIED TYPE)	G - FIR 0 - 3000 FT	NOT UNDER CONTROL			0000	0050	XXXX	XXXX	UK Airprox(P) : SA355 and Shadow. Subject of JAS investigation.	Nil
Biggin Hill	2000006	2000-01-18	0950	5113N	00007W	01000	B	CIVP	CHEROKEE / WARRIOR / ARROW	AERODROME TRAFFIC ZONES - (ATZ)	AFIS (CIVIL)	CIVT	ROBINSON R22	AERODROME TRAFFIC ZONES - (ATZ)	AFIS (CIVIL)			0500	0152	0350	0107	UK Airprox between a PA28 and a R22 at Redhill at 600ft.	"CAA Closure.  The PA28 pilot who was joining the circuit from the North,  had been advised by the AFISO  to report on right base leg for r/w 27R, no traffic in the right hand, fixed wing, circuit  but that the left hand helicopter circuit was active. The PA28 pilot , probably caught out by a strong NW wind above 1000ft (360/25kts) which was remarkably different than the reported surface wind (325/05kts), saw the airfield late and overshot the fixed wing circuit on the base leg and flew into the path of the R22 on a left base leg in the helicopter circuit.  Radar recordings confirmed that the PA28 entered the circuit at a ground speed of 125kts. This Airprox has since been independently assessed by the UK Airprox Board (UKAB)."
Biggin Hill	2000095	2000-06-24	1423	5129N	00007W	01500	B	CIVC	TWIN ECUREUIL	G - FIR 0 - 3000 FT	FIR / FIS (CIVIL)	CIVH	ROBINSON R22	G - FIR 0 - 3000 FT	FIR / FIS (CIVIL)			0200	0200	0000	0300	UK AIRPROX - R22 and an SA355 at Vauxhall Bridge at 1500ft.	"CAA Closure: This Airprox involved 2 x SA355 helicopters, operating South of the Thames and an R22, which had been told to remain to the North. The R22 was passed traffic info and reported visual with an SA355. Shortly afterwards one of the SA355s reported the Airprox. It appears that the R22 was not sighted on the relevant SA355 and thus came close to it. All a/c were operating iaw with the appropriate rules and the Airprox was therefore due to a non-sighting of a conflicting a/c. This Airprox is now subject to review by the UKAB."
Biggin Hill	2001154	2001-08-24	1054	5128N	00010W	01000	C	CIVE	206L LONGRANGER	AERODROME TRAFFIC ZONES - (ATZ)	AERODROME (CIVIL)	CIVC	DAUPHIN SA 365	AERODROME TRAFFIC ZONES - (ATZ)	AERODROME (CIVIL)			0300	XXXX	0500	0000	UK AIRPROX 154/2001 - Bell 206 and SA365 final approach to R/W21 at Battersea.	"The Bell 206 was joining London Battersea Heliport from the West, called ATC passing Barnes, and was cleared to join downwind left hand for R/W21.  Traffic information was passed on an SA365 inbound via Vauxhall Bridge.  The specification of a circuit direction to the Bell 206 was at variance with the Battersea MATS Part 2.  The SA365 made its initial call over Vauxhall Bridge at 1500 ft, and was advised as number 2 behind the Bell 206, which was at the time overhead the heliport on its downwind leg.  No specific joining instruction was passed to the SA365, nor was any mention made of the flight remaining North of the river to maintain separation from the Bell 206. It was the controller's responsibility to provide separation in accordance with local procedures.  Due to the bends in the river, the controller could not see the SA365, but estimated that the Bell 206 would complete its approach safely ahead of the SA365.  The controller's view to the East was restricted by trees, and the situation was not helped by the late initial call from the SA365.  When the controller eventually saw the SA365, it was realised that the 2 helicopters were on conflicting flight paths.  Instructions were passed to the SA365, which the pilot found somewhat confusing.  However, the SA365 pilot then saw the Bell 206, and keeping it in sight descended behind it to position as number 2.  The incident will be subject to assessment by UKAB. CAA Closure: No further CAA action appropriate."
Biggin Hill	2001173	2001-09-19	0916	5121N	00003E	01200	B	CIVP	525 CITATIONJET	AERODROME TRAFFIC ZONES - (ATZ)	AERODROME (CIVIL)	CIVT	DOMINIE HS 125	AERODROME TRAFFIC ZONES - (ATZ)	AERODROME (CIVIL)			XXXX	XXXX	XXXX	XXXX	UK AIRPROX 173/2001 - HS125 and C525 at Biggin Hill in FIR (Class G). Avoiding action given.	"The HS125 was making an ILS approach to Biggin Hill R/W21, to be followed by a go around.  The C525 was to depart from R/W23 on track for DVR to join airways.  A clearance was issued to the HS125 to make a right turn onto a heading of 350 deg, following the go around, and climb to 2100 ft.  Thames Radar passed a departure clearance for the C525 with the condition ""Release subject your traffic"".  When the HS125 reported in the right turn the Biggin controller cleared the C525 for take off.  The weather was poor and visual separation was not possible.  When the Biggin controller checked with Thames Radar to ensure the situation was safe he found that the HS125 was only 1 nm West of the aerodrome.  It was too late to prevent the C525 taking off and so it was stopped at 1200 ft.  Both controllers believed the other was providing separation between the 2 a/c.  The incident will be subject to assessment by UKAB. CAA Closure: Appropriate local ATC action taken."
Biggin Hill	2002034	2002-04-05	0944	5119N	00006W	00900	C	MILG	VIKING GLIDER (103 ACRO)	G - FIR 0 - 3000 FT	DISCRETE OPERATING FREQ (MILITARY)	CIVP	CITATION	G - FIR 0 - 3000 FT	AERODROME (CIVIL)			0200	0200	0250	0300	UK AIRPROX 34/2002 - C501 and military glider in Kenley Circuit at 900ft.	"The glider was at 900 ft in the circuit at Kenley, when the pilot saw another powered a/c at 700 ft in a slight descent.  The a/c was separated 200 m horizontally, and passed behind the glider with separation increasing. The C501 was inbound to Biggin Hill, receiving a service from Thames Radar and then Biggin.  The glider was seen by the C501 pilot, who carried out a descending turn to the left to avoid.  The incident will be subject to assessment by UKAB. CAA Closure: No further CAA action required."
Biggin Hill	2002068	2002-05-17	1434	5118N	00005W	01600	B	CIVG	K7 GLIDER	G - FIR 0 - 3000 FT	NOT UNDER CONTROL	CIVP	DOVE/DEVON	G - FIR 0 - 3000 FT	UNKNOWN			0300	0050	XXXX	XXXX	UK AIRPROX 68/2002 - Glider and DH Dove at Kenley during glider winch launch at 1000ft.	Nil
Biggin Hill	2002191	2002-10-02	1422	5113N	00009W	00420	B	CIVT	ROBINSON R22	AERODROME TRAFFIC ZONES - (ATZ)	AERODROME (CIVIL)	CIVP	HUGHES/SCHWEIZER 269/300/369	D - CONTROL ZONES AND AREAS (NON RULE 21)	AERODROME (CIVIL)			0000	0050	0175	0000	UK AIRPROX - 191/2002 - R22 and a Hughes 500 at Redhill Aerodrome at 400 feet.	"The R22 was carrying out training in the Redhill circuit, climbing through 420 ft, when a Hughes 500 was seen approaching fast from the right, range 500 m same level.  The Hughes passed the R22 from right to left 50 m ahead.  The Hughes 500 was joining Redhill but using outdated planning information, was unfamiliar with the aerodrome and had not obtained PPR.  Incorrect joining procedures were flown, and the Hughes pilot failed to follow ATC instructions thus not integrating safely into the visual circuit.  The Hughes pilot saw the R22 as it passed just to the left, almost below at an estimated 150-200 ft.  The incident was subject to assessment by UKAB. CAA Closure: No further CAA action required."
Biggin Hill	2002218	2002-11-08	1207	5120N	00001W	02200	B	CIVP	TBM 700	AERODROME TRAFFIC ZONES - (ATZ)	ESTABLISHING COMMS WITH	CIVP	CHEROKEE / WARRIOR / ARROW	AERODROME TRAFFIC ZONES - (ATZ)	ESTABLISHING COMMS WITH			0000	XXXX	0700	0800	UK AIRPROX-218/2002- Infringement of the Biggin Hill ATZ by a PA28. A TBM700 departing Biggin received a TCAS RA on the a/c.	Appropriate CAA action has been taken as a result of this incident. See also 200204947.
Biggin Hill	2003024	2003-01-27	1107	5118N	00006W	01100	B	CIVG	"KA8,-8B SAILPLANE"	G - FIR 0 - 3000 FT	NOT UNDER CONTROL	CIVE	TURBO COMMANDER 690	G - FIR 0 - 3000 FT	APPROACH RADAR (CIVIL)			0200	0183	XXXX	XXXX	UK AIRPROX 24/2003 - Glider and Rockwell 690C at 1300ft overhead Kenley.	Infringement of Kenley glider launch site by Rockwell 690C.
Biggin Hill	2004049	2004-04-17	1227	5118N	00005W	01300	B	MILG	VIKING GLIDER (103 ACRO)	G - FIR 0 - 3000 FT	NOT UNDER CONTROL	CIVH	EC-120 COLIBRI	G - FIR 0 - 3000 FT	NOT UNDER CONTROL	XXXX	0366	0075	0061	XXXX	XXXX	UK AIRPROX 49/2004 - EC120 and Viking Glider overhead Kenley Airfield at 1300ft.	"The conflict occurred in Class G airspace in the close vicinity of a promulgated glider site. The glider pilot (instructor) saw the EC120 and took evasive action. The EC120 pilot did not see the glider. This occurrence was the subject of a separate investigation by the UK Airprox Board. CAA Closure: No further CAA action required."
Biggin Hill	2004060	2004-04-23	1650	5119N	00005W	01900	B	CIVP	"KA8,-8B SAILPLANE"	G - FIR 0 - 3000 FT	NOT UNDER CONTROL	CATP	DOMINIE HS 125	G - FIR 0 - 3000 FT	FIR / FIS (CIVIL)	50	XXXX	0050	0000	XXXX	XXXX	UK AIRPROX 60/2004 - HS125 and K8 Glider at Kenley Airfield at approximately 1900ft.	"HS125 at approximately 1900ft, allegedly infringed the South London Gliding Centre Cable Hazard at Kenley Airfield and came into conflict with a K8 glider which had to take avoiding action as HS125 passed over it. A meeting was held with the Kenley glider operators, Biggin, Redhill and London ATC, and executive jet operators. Since the publicity campaign, the number of incidents reported at Kenley has significantly reduced. More safety meetings are planned. This occurrence was the subject of a separate review by the UK Airprox Board - See Airprox Report No. 060/04. CAA Closure: The hazard is adequately controlled by the actions stated above."
Biggin Hill	2004089	2004-05-19	1313	5119N	00006W	01800	C	CIVG	"KA8,-8B SAILPLANE"	G - FIR 0 - 3000 FT	UNKNOWN	CIVP	"DA40,DA40D DIAMOND STAR"	G - FIR 0 - 3000 FT	FIR / FIS (CIVIL)	XXXX	XXXX	0050	0100	0300	0800	UK AIRPROX 89/2004 - Two gliders and a DA40D overhead Kenley Airfield at 1600ft.	Alleged infringement of the South London Gliding Centre Cable Hazard at Kenley Airfield by a DA40D at approximately 1600ft. Two gliders were in the air and both took avoiding action.
Biggin Hill	2004173	2004-09-16	0927	5123N	00005E	01200	B	CIVP	CHEROKEE SIX	G - FIR 0 - 3000 FT	AERODROME (CIVIL)	CIVT	SKYHAWK 172	AERODROME TRAFFIC ZONES - (ATZ)	AERODROME (CIVIL)	500	0556	0200	0000	XXXX	XXXX	UK AIRPROX 173/2004 - PA32 and C172 4nm final approach R/W21 at Biggin Hill at 1800ft.	"PA32 in a RH orbit was told it was Nr 3 in traffic following a PA38  that was on a right base at approximately 3nms. A C172 on training circuits was downwind and told to take up LH orbits in order to fit behind the PA32. Controller carried out other tasks and when he returned to PA32 to ask if it was established on final, PA32 advised that he was, but that there was a Cessna on finals ahead."
Biggin Hill	2005058	2005-04-30	1543	5118N	00005W	00500	B	MILG	VIKING GLIDER (103 ACRO)	G - FIR 0 - 3000 FT	AIR TO GROUND SERVICE (MILITARY)	CIVP	SKYHAWK 172	G - FIR 0 - 3000 FT	APPROACH PROCEDURAL (CIVIL)	XXXX	XXXX	0200	0300	XXXX	XXXX	"UK AIRPROX 58/2005 - Military glider and C172 at 500ft, 2nm Northeast of Kenley."	Nil
Biggin Hill	2005089	2005-06-17	1323	5118N	00005W	01520	C	MILG	VIKING GLIDER (103 ACRO)	G - FIR 0 - 3000 FT	LISTENING OUT WITH ..... (MILITARY)	CIVT	SUPER KING AIR 200/300/350	G - FIR 0 - 3000 FT	RADAR INFORMATION SERVICE   (CIVIL)	XXXX	0000	0050	0000	0200	0000	UK AIRPROX 89/2005 - Beech 200 and a military glider 3nm WNW of Kenley at 1520 feet.	"Conflict within the FIR (Class G airspace). Beech 200 was operating iaw CAA approved Company Operations Manual and took appropriate avoiding action. CAA Closure: The hazard is acceptable provided the frequency remains low. This AIRPROX will be subject to a separate review by UKAB."
Biggin Hill	2005092	2005-06-16	1356	5122N	00003E	00400	B	CIVE	"CITATION 550, 560 (II - V)"	AERODROME TRAFFIC ZONES - (ATZ)	APPROACH PROCEDURAL (CIVIL)	CIVP	CHEROKEE / WARRIOR / ARROW	AERODROME TRAFFIC ZONES - (ATZ)	APPROACH PROCEDURAL (CIVIL)	XXXX	0741	0010	0000	XXXX	XXXX	UK AIRPROX 92/2005 - PA28 and a C560 on final approach to R/W 21 at Biggin Hill at 400ft.	"See also 200305222 and 200305525. C560 received a TCAS TA but could not receive an RA as the PA28 was not squawking Mode C. This AIRPROX has been subject to a separate review by UKAB (refer to UKAB report 092/05), which concluded that the PA28 pilot did not comply with clear instructions from ATC and flew into conflict with the C560 on the ILS approach. CAA Closure: The hazard is adequately controlled by existing requirements, procedures and documentation."
Biggin Hill	2006045	2006-04-08	1706	5127N	00007E	03000	C	CATQ	DO 328	A - TERMINAL CONTROL AREAS (RULE 21)	APPROACH RADAR (CIVIL)	CIVP	CESSNA 340	D - CONTROL ZONES AND AREAS (NON RULE 21)	APPROACH RADAR (CIVIL)	300	1112	0000	0927	0000	1853	"UK AIRPROX 45/2006 - Do328 on ILS approach, received a TCAS RA against a C340 in Class G airspace that was tracking West of the ILS. Traffic info given."	"Investigations indicate that the C340 pilot, who flying VFR, had been advised by ATC to keep clear of the R/W21 ILS centreline. However, he flew sufficiently close to the ILS to trigger a TCAS RA in the Do328. CAA Closure: No further CAA action required. This AIRPROX has been subject to a separate review by the United Kingdom AIRPROX Board (UKAB). UKAB report 045/06 refers."
Biggin Hill	2006158	2006-10-31	1234	5128N	00011W	01000	NYA	CIVH	DAUPHIN SA 365	AERODROME TRAFFIC ZONES - (ATZ)	AERODROME (CIVIL)	CIVH	TWIN ECUREUIL	A - CONTROL ZONES (RULE 21)	APPROACH RADAR (CIVIL)	XXXX	1668	0000	0927	XXXX	XXXX	UK AIRPROX 158/2006 - AS355 and an AS365 over Battersea Heliport.	"The LTCC MATS Part 2 procedures require Thames Radar/Heathrow SVFR controllers to coordinate overflying helicopters with London Heliport ATC. On this occasion, neither the mentor/trainee radar controllers or the coordinator ensured that this occurred when the AS355 was routed along H4/H3. The Heliport ADC noticed the (unknown) AS355 after the AS365 had departed behind it. The pilot of the AS365 then reported sighting the AS355 ahead. Appropriate ATC personnel action taken. CAA Closure: The hazard is adequately controlled by the actions stated above. This AIRPROX will be subject to a separate review by the United Kingdom AIRPROX Board (UKAB)."

